phiNames, phiPreds, phi0, n_3, n_1, n_2, y_4, y_2, y_1, y_3, y_0, x_3, x_1, x_2, r_2, r_0, r_1, p_2, p_0, p_1, n_0, x_0, gen_bad, n, x, output, incorrect
"[495456.58377659874, 9.502676757838984]", "[True]", <phi.Phi object at 0x10bb187b8>, 0, 0, 1, 495456.58377659874, 495456.58377659874, 495456.58377659874, 9.502676757838984, 1, 4294967296, 4294967296, 65536, 1, 1, 0, True, True, False, 10, 4, True, 10, 4, 495456.58377659874, True
"[64, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 64, 64, 64, 1, 1, 4096, 4096, 64, 1, 1, 0, True, True, False, 2, 8, False, 2, 8, 64, False
"[15.117169569666531, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 15.117169569666531, 15.117169569666531, 15.117169569666531, 1, 1, 256, 256, 16, 1, 1, 0, True, True, False, 2, 4, True, 2, 4, 15.117169569666531, True
"[1, 1]", "[True]", <phi.Phi object at 0x10ba88128>, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, True, True, True, 3, 1, False, 3, 1, 1, False
"[100000000, 1]", "[True]", <phi.Phi object at 0x10bb18ef0>, 0, 0, 1, 100000000, 100000000, 100000000, 1, 1, 10000000000000000, 10000000000000000, 100000000, 1, 1, 0, True, True, False, 8, 10, False, 8, 10, 100000000, False
"[125, 5]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 125, 125, 125, 5, 1, 625, 625, 25, 1, 1, 1, True, True, True, 3, 5, False, 3, 5, 125, False
"[387420489, 9]", "[True]", <phi.Phi object at 0x10ba88128>, 0, 0, 1, 387420489, 387420489, 387420489, 9, 1, 1853020188851841, 1853020188851841, 43046721, 1, 1, 0, True, True, False, 9, 9, False, 9, 9, 387420489, False
"[49, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 49, 49, 49, 1, 1, 2401, 2401, 49, 1, 1, 0, True, True, False, 2, 7, False, 2, 7, 49, False
"[1, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, True, True, True, 7, 1, False, 7, 1, 1, False
"[4251.236620921086, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 4251.236620921086, 4251.236620921086, 4251.236620921086, 1, 1, 43046721, 43046721, 6561, 1, 1, 0, True, True, False, 4, 9, True, 4, 9, 4251.236620921086, True
"[3203365.955446985, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 3203365.955446985, 3203365.955446985, 3203365.955446985, 1, 1, 33232930569601, 33232930569601, 5764801, 1, 1, 0, True, True, False, 8, 7, True, 8, 7, 3203365.955446985, True
"[64, 4]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 64, 64, 64, 4, 1, 256, 256, 16, 1, 1, 1, True, True, True, 3, 4, False, 3, 4, 64, False
"[0.15543552024898966, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 0.15543552024898966, 0.15543552024898966, 0.15543552024898966, 1, 1, 4, 4, 2, 1, 1, None, True, True, None, 1, 2, True, 1, 2, 0.15543552024898966, True
"[64, 4]", "[True]", <phi.Phi object at 0x10bb18f60>, 0, 0, 1, 64, 64, 64, 4, 1, 256, 256, 16, 1, 1, 1, True, True, True, 6, 2, False, 6, 2, 64, False
"[279936, 216]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 279936, 279936, 279936, 216, 1, 1679616, 1679616, 1296, 1, 1, 1, True, True, True, 7, 6, False, 7, 6, 279936, False
"[397042638.56766886, 4.820595515615849]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 397042638.56766886, 397042638.56766886, 397042638.56766886, 4.820595515615849, 1, 10000000000000000, 10000000000000000, 100000000, 1, 1, 0, True, True, False, 9, 10, True, 9, 10, 397042638.56766886, True
"[77.49168618868515, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 77.49168618868515, 77.49168618868515, 77.49168618868515, 1, 1, 1679616, 1679616, 1296, 1, 1, 0, True, True, False, 4, 6, True, 4, 6, 77.49168618868515, True
"[10000000000, 100]", "[True]", <phi.Phi object at 0x10ba15d30>, 0, 0, 1, 10000000000, 10000000000, 10000000000, 100, 1, 10000000000000000, 10000000000000000, 100000000, 1, 1, 0, True, True, False, 10, 10, False, 10, 10, 10000000000, False
